business_name,contact_page_url,main_public_phone,general_public_email
1 & 2 Electrical Solution Ltd,https://1and2electric.com/,,info@1and2electric.com
107.5 Beach Radio,https://www.pattisonmedia.com/contact-us,,info@pattisonmedia.com
1516 Pub & Grill,https://1516pub.com/,(778) 475-9146,info@1516pub.com
27th Street Florist,https://www.27thstreetflorist.com/,(250) 503-2262,27thst.florist@gmail.com
28th Avenue Homes Ltd,https://28thavenuehomes.ca/contact-us/,778-475-4880,info@28thavehomes.ca
3% Real Estate,https://www.3pr.ca/,+1-1-250-503-2246,hello@3pr.ca
39Th Avenue Massage Therapy,https://www.39avemassagetherapy.com/contact,250-306-7571,39avemassagetherapy@gmail.com
4 Seasons Real Estate,https://www.kelownahomesource.com/about/,250-549-1233,christian@mortlockrealestate.com
"4-H Armstrong, Vernon, Lumby District",https://www.4hbc.ca/,250 545 7140,mail@4hbc.ca
4D Creek Ranch,https://www.4dcreekranch.com/,(250) 718 6211,4dcreekranchlumby@gmail.com
50th Parallel Estate Winery,https://www.50thparallel.com/contact-us/,2507663408,events@50thparallel.com
A & D Asphalt Solutions Ltd.,https://www.asphaltsolutions.ca/contact-us,(250) 546-6610,asphaltsolutionsadestimator@gmail.com
A Fine Kettle of Fish,https://www.finekettleofish.ca/,(250) 545-5665,finekettleofishvernon@gmail.com
"A&W, The McMurray Group",https://members.downtownvernon.com/contact-us,(250) 549-4717,info@downtownvernon.com
A.M.I. Clothing,https://okanagangear.com/,(250) 542-2649,sales@amiclothing.com
Aberdeen Dental Centre,https://vernondentist.com/,250-545-3319,aberdeendentalcentre@gmail.com
About Time Bookkeeping,,1-778-212-5436,abouttimebookkeeping@outlook.com
Absolute Cheer & Tumbling Ltd.,https://www.absolutegym.ca/contact,(250) 241-8712,absolute.cgt@gmail.com
AFD Quality Fuels and Lubricants,https://afdpetroleum.com/,7804385930,info@afdpetroleum.com
After School Day Care,https://www.appletreechildcare.ca/,250-545-7543,info@appletreechildcare.ca
