Name,Phone,Email
1 & 2 Electrical Solution Ltd,,info@1and2electric.com
107.5 Beach Radio,,info@pattisonmedia.com
1516 Pub & Grill,(778) 475-9146,info@1516pub.com
27th Street Florist,(250) 503-2262,27thst.florist@gmail.com
28th Avenue Homes Ltd,(778) 475-4880,info@28thavehomes.ca
3% Real Estate,+1-1-250-503-2246,hello@3pr.ca
39Th Avenue Massage Therapy,(250) 306-7571,39avemassagetherapy@gmail.com
4 Seasons Real Estate,(250) 549-1233,christian@mortlockrealestate.com
"4-H Armstrong, Vernon, Lumby District",(250) 545-7140,mail@4hbc.ca
4D Creek Ranch,(250) 718-6211,4dcreekranchlumby@gmail.com
50th Parallel Estate Winery,(250) 766-3408,events@50thparallel.com
A & D Asphalt Solutions Ltd.,(250) 546-6610,asphaltsolutionsadestimator@gmail.com
A Fine Kettle of Fish,(250) 545-5665,finekettleofishvernon@gmail.com
"A&W, The McMurray Group",(250) 549-4717,info@downtownvernon.com
A.M.I. Clothing,(250) 542-2649,sales@amiclothing.com
Aberdeen Dental Centre,(250) 545-3319,aberdeendentalcentre@gmail.com
About Time Bookkeeping,(778) 212-5436,abouttimebookkeeping@outlook.com
Absolute Cheer & Tumbling Ltd.,(250) 241-8712,absolute.cgt@gmail.com
AFD Quality Fuels and Lubricants,(780) 438-5930,info@afdpetroleum.com
After School Day Care,(250) 545-7543,info@appletreechildcare.ca
Agar Schneider & Lett,(250) 545-7117,admin@cpavernon.ca
Ahhhh Thai Massage,(778) 866-9663,info@jaidee.ca
Air Design Heating & Cooling Ltd.,(250) 306-0142,office@airdesignheating.com
Alesha Bradley Registered Massage Therapist,(250) 307-3433,info@aleshabradleyrmt.ca
Alexander's Pub and Liquor Store,,alexanderspubliquorstore.shop@gmail.com
All About Youth Consultants,,hello@evlppl.com
All Pro Tree & Landscaping Services,(250) 549-4555,contact@allprotree.ca
All Terrain Construction,(250) 558-8782,allterrainhaner@gmail.com
Allan Brooks Nature Centre,(250) 260-4227,events@abnc.ca
Alpha Vapes,(778) 392-8307,alphavapes.bc@gmail.com
Alpine Spa Covers,(250) 545-7779,info@alpinespacovers.com
Altha Health & Sport,(250) 546-5159,drpaulinet.altha@gmail.com
Amplified Cafe,(250) 545-1001,info@amplifiedcafe.com
Anchor Peak Bookkeeping,,info@cbinsights.com
Ancient Hill Estate Winery,(250) 491-2766,info@ancienthillwinery.com
Anderson Vacations,(778) 475-8261,bookings@andersonvacations.ca
Angel Acres Country Store,(250) 996-1801,support@nourishfoodclub.com
Angelkeys Music Studio,(250) 305-4784,support@mymusicstaff.com
Angus River Earthworks,(250) 309-4666,angusriverearthworks@outlook.com
Anna's Vitamins Plus,(250) 260-1147,info@annasvitaminsplus.com
Anton Bill TMG Realty,(250) 309-3255,billantonstudio@truevine.net
Apple Valley Auto,(250) 542-2331,shop@avauto.com
Applewood Plumbing & Heating,(250) 549-4777,info@applewoodheating.net
Ardene,(877) 606-4233,support@ardene.com
Armstrong Asparagus Farm,,admin@armstrongfarmco.com
Armstrong Craneguy,(250) 996-3239,craneguy56@gmail.com
Armstrong Dental Centre,(250) 546-9811,reception@armstrongsmiles.com
Armstrong Farmers Market,(250) 307-8336,info@armstrongfarmersmarket.ca
Armstrong Lions Club,(705) 676-6410,armstronglions.sec@gmail.com
Armstrong Optometry,(250) 546-2020,info@armstrongoptometry.com
Armstrong Pride Society,(250) 251-8826,info@armstrongpride.ca
Armstrong Registered Massage Therapy,(250) 878-0409,info@armstrongmassage.ca
Armstrong Return-It Depot,(250) 546-2466,brandregistry@returnit.ca
Armstrong Spallumcheen Cemetery,(250) 546-3013,mail@spallumcheentwp.bc.ca
Armstrong Spallumcheen Environmental Trust,(250) 546-6377,info@mycharityfund.ca
Armstrong Spallumcheen Trails Society,(250) 241-2255,astrailssociety@gmail.com
Armstrong Veterinary Clinic,(250) 546-9506,reception@armstrongveterinaryclinic.com
Armstrong Wine And Brew Ltd,(250) 546-6954,info@armstrongwineandbrew.com
Ash & Oak Salon,(250) 541-0223,ashandoaksalon@gmail.com
Ashton Oasis Farm,(250) 838-2655,ashton.oasis@gmail.com
Askews Foods,(250) 546-3039,info@askewsfoods.com
Aspect Dental,(250) 545-4466,reception@aspect.dental
Aspen Landscaping Ltd,(250) 317-7773,info@aspenlandscaping.ca
Associated Environmental,,inquiries@ae.ca
Attivo Health,(778) 475-3600,attivohealthvernon@gmail.com
B.Weightman Construction,(931) 246-0910,bweightman@outlook.com
Back Nine Indoor Golf,(236) 361-7888,infoca@thebackninegolf.com
Back To Earth,(778) 475-2226,admin@getbacktoearth.com
Baird Brothers,(250) 838-6430,bairdbros.ca@gmail.com
Barrique & Java,(250) 275-1556,reservations@sparklinghill.com
BC Pilates Health Hub Ltd,(250) 541-0612,thepilateshealthhub@gmail.com
BDC Vernon,,info@cdap-vernon.ca
BDM Tire Service Ltd,(778) 474-9008,contact@tsbc.ca
Beach Radio 107.5,(250) 545-2141,contact@radio.menu
Beachcomber Home Leisure,(250) 542-3399,info@bhleisure.com
Bean Around The World Coffee,,support@batwcoffee.com
Bean To Cup,(250) 503-2222,beantocup@gmail.com
Bear Paw Earthworks,(250) 545-9899,info@bearpawearthworks.ca
Bear Valley Highlands,(778) 373-5684,info@bearvalleyhighlands.com
Beaumont Mortgage Group,(604) 536-3802,neil@neilbeaumont.ca
Beaver Lake Mountain Resort,(250) 762-2225,info@beaverlakeresort.com
Beelineweb.com,(866) 766-2589,info@beelineweb.com
Beem Credit Union,(250) 545-1234,info@gfcu.com
Bertelsen Plumbing,(250) 542-4153,office@bertelsenplumbing.com
Better Than Nature Indoor Garden Supply,(604) 588-4769,info@pnwgardensupply.com
Big Blue 4X4 Mobile Welding,(250) 766-3958,codyswelding06@gmail.com
Big Dipper Hot Tub Co.,(250) 306-1872,bigdipperhottubs@gmail.com
Bighorn Moving and Storage,(250) 766-1966,info@bighornmoving.ca
Black Fox,(778) 212-1973,support@vagaro.com
Black Isle Farms,(250) 833-6459,letters@castanet.net
Blind Tiger Vineyards,(250) 766-0622,hello@blindtigervineyards.ca
Bloom Salon,(250) 545-7800,info@greencirclesalons.com
Bloom Wellness Centre,(604) 988-1411,hello@bloomwellness.com
Blue Grass Farm,,hello@bluegrassfarmbc.ca
Blue Valley Painting,(250) 308-2413,info@bluevalleypainting.com
Bluebird Sport & Spine Physiotherapy,,info@bluebirdsportandspine.ca
Bluegreen Architecture,(778) 506-4567,info@bluegreenarch.com
BNA Brewing,(250) 558-2635,info@bnabrewing.com
Boa Thong Thai Food Restaurant,(250) 542-1252,info@boathong.ca
Borrowman Electric,(778) 473-3004,sales@borrowman.ca
Boschtech Plumbing,(250) 938-5878,boschtechplumbing@gmail.com
Bosman Accounting,(250) 542-2180,info@bosmanaccounting.com
Boys & Girls Club Okanagan),(250) 546-3465,office@bgc.ca
Bridlewood Riding Centre,(250) 862-0998,bridlewoodriding@gmail.com
Bright Angel Farm,(250) 558-5552,brightangelfarm@gmail.com
Brown Mechanical Services,(250) 545-4211,info@brown-mechanical.ca
Bugaboo Bakery,(250) 545-3208,bugabooscafe@gmail.com
Bun Tan Pho & Sushi,(778) 475-6191,sakurasushi.vernon@gmail.com
Burr Fabrication,(250) 549-0581,burrfabrication@gmail.com
Burton Tree Service,(250) 833-8705,james@burtontree.ca
Cabbana Indian Bistro,(778) 943-2080,info@mysite.com
Cactus Club Cafe - Vernon,(778) 506-2494,support@provenexpert.com
Cal Pro Electrical Ltd,(250) 938-0380,info@mcleanselectrical.com
Cali Garden Landscaping,(236) 599-0550,info@caligarden.ca
Cambium Cider Co,(250) 541-0655,hello@cambiumcider.com
Cambridge Building Products Ltd,(403) 354-1742,greg@cambridgebp.com
Camel's Hump Guest Ranch,(250) 547-2207,camelshumpranch@gmail.com
Canadian 4X4,(250) 938-7007,cpzieman@gmail.com
Canadian Wildlife Museum & Gift Shop,(250) 545-9740,info@canadianwildlifemuseum.com
CanHealth and Dental Plans Ltd,(250) 838-6848,casebrad@telus.net
Cardiff Miller Art Warehouse,,cmawenderby@gmail.com
Cardinal Vow Media,(236) 700-0808,hello@cardinalvow.com
Carisma Cleaning Services,(250) 469-9035,hello@anyclean.ca
